name,age,street,city,state,zip,lng,lat
Samuel Herrera,64,115 Andrews Bypass Suite 398,Elizabethfurt,New Jersey,72828,105.458669,-84.6155845
Joshua Tanner,26,77522 Laura Court,Lake Bryantown,Georgia,69558,163.209159,-84.0597775
Dustin Shaw,53,26144 White Junction Apt. 303,Murillohaven,Nebraska,88475,141.238773,84.6790865
Melanie Davis,23,3177 Peter Via,East Ashleystad,Massachusetts,24061,-83.924980,31.4226995
Austin Richardson,76,287 Smith Fords Suite 754,Dariusburgh,Connecticut,74600,1.136275,27.724431
Chris Miller,47,642 Atkins Heights Suite 465,South Hannahtown,Hawaii,13289,53.496781,-6.4643025
Tiffany Ross,70,461 Adam Fort,Adamsview,Alabama,72320,-171.039967,-52.8384645
Jennifer York,71,0788 Herman Street Suite 874,Port Amyville,California,28474,-11.053995,68.8774725
Gabrielle Robinson,41,150 Shaw Junctions,Silvaville,Florida,50307,8.198550,-28.1212855
Pamela Steele,29,156 Richard Throughway,New Justinbury,Colorado,42824,68.194298,58.884352
Larry Reynolds,52,8500 Blackwell Crossing,Tammyland,Illinois,30879,110.221081,-89.300566
Ryan Meyer,63,3108 Villarreal Greens,West Antonioshire,Mississippi,80149,47.808538,-7.080001
Grace Christensen,22,53779 Pham Ford Suite 105,Dominguezfurt,Nevada,13772,94.149072,-54.7677305
Jonathan Wilcox,63,595 Henry Plains Suite 822,South Haleyfurt,Arkansas,38149,-128.901561,35.505546
Alyssa Johnson,32,5041 Noble Loop,Port Danaview,Mississippi,92099,-133.623341,5.058626
Ruth Turner,42,699 Mary Ramp Apt. 915,Castillochester,Idaho,57064,-98.710522,-36.0828765
Crystal Smith,57,9062 Bond Trafficway Apt. 758,Joneston,North Dakota,99824,-113.438790,-64.9701365
James Brown,19,1305 Tran Extensions,Port Austinport,Texas,19289,-105.128792,50.659729
Christopher Ramos,38,23654 Amanda Orchard,West Melissabury,Maine,77511,38.742790,-47.9922055
Tara Andersen,45,096 Shirley Groves,Brianaton,Mississippi,57596,-147.832810,-58.295875
Tiffany Pierce,43,2407 Derrick Isle Suite 838,South Bethfort,South Dakota,15684,-86.007421,21.713961
Alejandra Stevens,57,844 Stone Bypass Apt. 915,Cervantesburgh,Massachusetts,24012,105.262378,-6.524467
Curtis Raymond,59,2110 Davis Fall Apt. 552,North Nicole,Tennessee,53573,158.417791,64.594317
Elizabeth Price,43,60170 Rebecca Radial Suite 642,Pageberg,Kansas,42802,163.045461,40.797601
Jonathan Sanders,40,898 Welch Fields,South Alexanderborough,Rhode Island,13086,-88.300309,-39.517671
Tanya Graves,31,7824 Lutz Courts Apt. 639,West Christopher,Arkansas,07641,117.775931,-66.8002115
Tiffany Nelson,43,0753 Amanda Corners,Meyerston,Idaho,67250,-79.145672,4.246626
Gary Ferguson,56,3588 Clark Ferry Apt. 936,Danielview,Oregon,41530,-18.173251,62.4555525
Monica Farley,74,5616 Kennedy River,Port Jefferyberg,Indiana,64933,-151.461444,85.580587
Jason Fernandez,36,48905 Goodwin Mountain,Kendrachester,California,02942,112.363123,64.702669
Douglas Finley,44,5504 David Cliffs Suite 241,Margarethaven,Rhode Island,46458,145.343579,-13.329489
Matthew Landry,30,3544 Medina Crossing Apt. 402,West Robert,New Hampshire,12130,-0.544568,-1.559032
Richard Conner,21,45963 Johnson Ports Apt. 212,Gabrielton,Maryland,18656,-37.124203,47.027319
Alison Thornton,47,792 King Mountain,Adamport,New Hampshire,56112,-153.526516,35.3428245
Todd Peters,65,0266 Allen Passage Suite 362,Port Shawn,Arkansas,79054,141.584195,14.930085
John Ford,57,885 Joshua River,Rodriguezton,Utah,73017,167.583057,37.000417
Victoria Miller,48,55245 Heidi Junction,Emilyhaven,Wisconsin,25692,5.840907,37.594615
Steve Hernandez,30,42728 Jordan Plaza,New Joshuamouth,New Hampshire,41988,172.461795,75.123548
Ronald Davis,49,33088 Lisa Loop Suite 372,Lake Aaron,Alabama,97524,104.470870,-36.7419445
Angel Howell,56,781 Collins Crest Apt. 080,Alisonberg,Virginia,30185,-167.447454,24.135477
Anthony Alexander,62,329 Roberts Knoll Suite 841,Rebeccahaven,Iowa,15277,41.672060,-56.923402
Jonathan Williams Jr.,53,0026 Brown Fork Apt. 097,East Thomaston,New York,51379,-9.284437,-89.439991
Anna Holmes,80,98565 Brandon Extensions,Kimberlymouth,Rhode Island,53602,-178.155039,75.641142
Robert Pope,18,890 Mary Fork,Port Miranda,Hawaii,90908,155.872189,-22.010681
Zachary Baker,62,532 Ramirez Streets Suite 360,Lisaborough,Indiana,90069,-11.028865,-58.2534955
Austin Thomas,19,75079 Arroyo Via,Williamstad,Minnesota,01946,-171.405707,73.2385785
Alan Bailey,29,9212 Campbell Knoll,Longberg,Delaware,27770,163.215625,-79.421474
Matthew Hunter,42,5948 Sweeney Circle,West Chadstad,Indiana,76047,-20.173416,59.885749
Peter Martin,52,346 Rowland Green,East Jeremy,California,08147,165.907166,-20.5220275
Nicole Diaz,69,797 Nguyen Trace Apt. 845,Teresaborough,New Hampshire,18657,-36.621386,9.0533105
